# EHPower estimated for Planck15 cosmology at a=0.01 with nbodykit
# k, P(k)
7.127323367432815806e-04 4.718935499231449171e-01
7.193304821471389584e-04 4.760469073754852731e-01
7.259897101208849643e-04 4.802356675816418230e-01
7.327105861386204108e-04 4.844601038802244797e-01
7.394936809093429365e-04 4.887204910340251507e-01
7.463395704254118185e-04 4.930171052204348481e-01
7.532488360114541646e-04 4.973502240213411585e-01
7.602220643737306978e-04 5.017201264125008553e-01
7.672598476499591829e-04 5.061270927523735530e-01
7.743627834595910499e-04 5.105714047703988623e-01
7.815314749545617052e-04 5.150533455547188222e-01
7.887665308705088920e-04 5.195731995393213509e-01
7.960685655784634392e-04 5.241312524906011072e-01
8.034381991370131548e-04 5.287277914933151690e-01
8.108760573449658865e-04 5.333631049359431886e-01
8.183827717944844272e-04 5.380374824954120561e-01
8.259589799247138648e-04 5.427512151211912883e-01
8.336053250759202417e-04 5.475045950187459320e-01
8.413224565441147209e-04 5.522979156323249983e-01
8.491110296361879762e-04 5.571314716270785450e-01
8.569717057255578450e-04 5.620055588704943039e-01
8.649051523083332773e-04 5.669204744131334239e-01
8.729120430599900289e-04 5.718765164686565594e-01
8.809930578925786971e-04 5.768739843931266487e-01
8.891488830124632571e-04 5.819131786635785009e-01
8.973802109785850023e-04 5.869944008558296566e-01
9.056877407612748745e-04 5.921179536215377404e-01
9.140721778016095214e-04 5.972841406644761042e-01
9.225342340713093463e-04 6.024932667160175503e-01
9.310746281331985005e-04 6.077456375098166941e-01
9.396940852022255160e-04 6.130415597556762020e-01
9.483933372070394840e-04 6.183813411125737014e-01
9.571731228521456305e-04 6.237652901608508049e-01
9.660341876806356276e-04 6.291937163735400462e-01
9.749772841374906894e-04 6.346669300868129637e-01
9.840031716334782675e-04 6.401852424695487764e-01
9.931126166096405049e-04 6.457489654919935651e-01
1.002306392602375640e-03 6.513584118935072942e-01
1.011585280309120925e-03 6.570138951493758039e-01
1.020950067654649096e-03 6.627157294366812224e-01
1.030401549857974056e-03 6.684642295992121452e-01
1.039940529499882140e-03 6.742597111113984854e-01
1.049567816591076607e-03 6.801024900412573349e-01
1.059284228640964415e-03 6.859928830123360743e-01
1.069090590727078335e-03 6.919312071646402940e-01
1.078987735565132677e-03 6.979177801145250992e-01
1.088976503579741021e-03 7.039529199135436954e-01
1.099057742975775593e-03 7.100369450062326004e-01
1.109232309810395797e-03 7.161701741868176097e-01
1.119501068065744190e-03 7.223529265548417344e-01
1.129864889722306635e-03 7.285855214696702609e-01
1.140324654832958976e-03 7.348682785038913590e-01
1.150881251597702390e-03 7.412015173955778247e-01
1.161535576439078326e-03 7.475855579993979649e-01
1.172288534078292071e-03 7.540207202365657446e-01
1.183141037612042137e-03 7.605073240436210913e-01
1.194094008590047221e-03 7.670456893200052750e-01
