# EHPower estimated for Planck15 cosmology at a=1.00 with nbodykit
# k, P(k)
3.988415544392957834e-04 1.570947983701345038e+03
4.025338445650893625e-04 1.584925248856382495e+03
4.062603162003602508e-04 1.599025478657639269e+03
4.100212857816705144e-04 1.613249718676723887e+03
4.138170726750025437e-04 1.627599022452478266e+03
4.176479992028832972e-04 1.642074451528294730e+03
4.215143906717523843e-04 1.656677075488960554e+03
4.254165753995828737e-04 1.671407971997018876e+03
4.293548847437659980e-04 1.686268226828665775e+03
4.333296531292454954e-04 1.701258933909101870e+03
4.373412180769153577e-04 1.716381195347349149e+03
4.413899202322813659e-04 1.731636121470515945e+03
4.454761033943889048e-04 1.747024830857469624e+03
4.496001145450139141e-04 1.762548450371894432e+03
4.537623038781287929e-04 1.778208115194724314e+03
4.579630248296407639e-04 1.794004968855916559e+03
4.622026341074011264e-04 1.809940163265531510e+03
4.664814917214973227e-04 1.826014858744113553e+03
4.707999610148243491e-04 1.842230224052334734e+03
4.751584086939359460e-04 1.858587436419860524e+03
4.795572048601850525e-04 1.875087681573446616e+03
4.839967230411526045e-04 1.891732153764197619e+03
4.884773402223632679e-04 1.908522055793986738e+03
4.929994368792988378e-04 1.925458599040992567e+03
4.975633970097081147e-04 1.942543003484338215e+03
5.021696081662115193e-04 1.959776497727773858e+03
5.068184614892118876e-04 1.977160319022406156e+03
5.115103517401092207e-04 1.994695713288415618e+03
5.162456773348224814e-04 2.012383935135756929e+03
5.210248403776169190e-04 2.030226247883747419e+03
5.258482466952558955e-04 2.048223923579621896e+03
5.307163058714585652e-04 2.066378243015892167e+03
5.356294312816772861e-04 2.084690495746551733e+03
5.405880401282054954e-04 2.103161980102098369e+03
5.455925534756016302e-04 2.121794003203282045e+03
5.506433962864434048e-04 2.140587880973579104e+03
5.557409974574149380e-04 2.159544938150353119e+03
5.608857898557285731e-04 2.178666508294668802e+03
5.660782103558790069e-04 2.197953933799672541e+03
5.713186998767421938e-04 2.217408565897575500e+03
5.766077034190182681e-04 2.237031764665139235e+03
5.819456701030158814e-04 2.256824899027633364e+03
5.873330532067909653e-04 2.276789346761254365e+03
5.927703102046395951e-04 2.296926494493921382e+03
5.982579028059403997e-04 2.317237737704420852e+03
6.037962969943637577e-04 2.337724480719874009e+03
6.093859630674423574e-04 2.358388136711452717e+03
6.150273756765034473e-04 2.379230127688306311e+03
6.207210138669761118e-04 2.400251884489671284e+03
6.264673611190719462e-04 2.421454846775091937e+03
6.322669053888357697e-04 2.442840463012705641e+03
6.381201391495837242e-04 2.464410190465569030e+03
6.440275594337221444e-04 2.486165495175939668e+03
